No.	名前	読み	Name	セット	コスト	コスト(int)	ポーション	借金	分類	種類	勝利点	+card	+action	+buy	+coin	+VPtoken	能力	Ability	説明
60	漁村	ぎょそん	Fishing Village	海辺	3	3	0	0	王国	Action-Duration	0	0	2	0	1	0	【能力】+2アクション。+1コイン。あなたの次のターンの開始時に、+1アクション。+1コイン。	【Ability】+2 Actions+1 CoinAt the start of your next turn:+1 Action+1 Coin	【説明】あなたは、1コインと、このターン追加のアクション2つを得る。あなたの次のターンの開始時に、1コインと、このターン追加のアクション1つを得る。これは、あなたは次のターン（通常のアクションとして）アクションを合計2枚使用できることを意味する。このカードは、あなたの次のターンのクリーンアップフェイズまで、あなたの前に置いておく。（メモ）
61	巾着切り	きんちゃくきり	Cutpurse	海辺	4	4	0	0	王国	Action-Attack	0	0	0	0	2	0	【能力】+2コイン。他のプレイヤーは全員、銅貨1枚を捨て札にする（手札に銅貨がないプレイヤーは、手札を公開する）。	【Ability】+2 CoinsEach other player discards a Copper card (or reveals a hand with no Copper).	【説明】他のプレイヤーは、銅貨のみを1枚だけ捨て札にしなければならない。銅貨を持っていない場合は、他のプレイヤー全員が確認できるように、自分の手札を公開しなければならない。（メモ）
62	原住民の村	げんじゅうみんのむら	Native Village	海辺	2	2	0	0	王国	Action	0	0	2	0	0	0	【能力】+2アクション。次のうち1つを選ぶ：「あなたの山札の一番上のカードを、あなたの原住民の村マット上に、裏向きにして脇に置く。」；「あなたのマット上にあるカードすべてを手札に加える。」あなたは自分のマット上にあるカードをいつでも見ることができ、そのカードはゲーム終了時にあなたの山札に戻す。	【Ability】+2 ActionsChoose one: Set aside the top card of your deck face down on your Native Village mat; or put all the cards from your mat into your hand.You may look at the cards on your mat at any time; return them to your deck at the end of the game.	【説明】このカードを初めて入手するときに、原住民の村のプレイヤーマット1枚を受け取る。「原住民の村」を使用するとき、原住民の村プレイヤーマット上の脇に置いたカードすべてを自分の手札に加えるか、自分の山札の一番上のカード1枚を（必要であればシャッフルして新たな山札を作って）裏向きにして原住民の村プレイヤーマット上へ脇に置くかをする。あなたは、自分の原住民の村プレイヤーマット上のカードをいつでも見ることができる。ゲームの終了時に原住民の村プレイヤーマット上に残っているカードは、得点計算のために自分の山札に戻す。使用した「原住民の村」カード自身は脇には置かず、クリーンアップフェイズに自分の捨て札に置く。（メモ）
63	航海士	こうかいし	Navigator	海辺	4	4	0	0	王国	Action	0	0	0	0	2	0	【能力】+2コイン。あなたの山札の上から5枚のカードを見る。見たカードすべてを捨て札にする。または、見たカードすべてを好きな順番にあなたの山札の上へ戻す。	【Ability】+2 CoinsLook at the top 5 cards of your deck. Either discard all of them， or put them back on top of your deck in any order.	【説明】あなたは、5枚すべてを捨て札にするか、1枚も捨て札にしないかのどちらかである。捨て札にしない場合、好きな順番で山札へ戻す。山札の残り枚数が5枚未満の場合、山札の残り枚数すべてを見た後、捨て札を（今見たカードを混ぜないように）シャッフルし直して新たな山札を作り、不足枚数を見る。それでも5枚に満たない場合、残り枚数すべてを見て、それを捨て札にするか、山札に戻すかをする。（メモ）
64	策士	さくし	Tactician	海辺	5	5	0	0	王国	Action-Duration	0	0	0	0	0	0	【能力】あなたの手札すべてを捨て札にする。この方法で1枚以上のカードを捨て札にした場合、次のターンの開始時に、+5カードを引く。+1カードを購入。+1アクション。	【Ability】Discard your hand.If you discarded any cards this way， then at the start of your next turn， +5 Cards， +1 Buy， and +1 Action.	【説明】あなたの次のターンの開始時まで、追加のカード5枚を引くことを待つ。「策士」を使用したターンの終了時に追加のカード5枚を引くことはできない。「策士」は、あなたの次のターンのクリーンアップフェイズまで、あなたの前に置いておく。「策士」のボーナス効果を得るためには、1枚以上の手札を捨てなければならないため、「玉座の間」の効果で「策士」を使っても、+10カードを引く、+2カードを購入、+2アクションは得られない。これは、1枚目の「策士」を使用するときにすべての手札を捨てなければならず、2枚目の「策士」を使用するときに追加のカードを引く、追加のカードの購入、追加のアクションを誘発するための手札は1枚も残っていないためである。（メモ）※「策士」の効果の解決時には「策士」のカード自身は手札にはないため、「策士」のカード自身を捨て札にすることはできない。
65	島	しま	Island	海辺	4	4	0	0	王国	Action-Victory	2	0	0	0	0	0	【能力】このカードと、あなたの手札にあるもう1枚のカードを脇に置く。ゲーム終了時に、このカードの効果で脇に置いた2枚を、あなたの山札へ戻す。2勝利点。	【Ability】Set aside this and another card from your hand. Return them to your deck at the end of the game.  2 VP	【説明】このカードを初めて入手するときに、島のプレイヤーマット1枚を受け取る。「島」は、アクションカードと勝利点カードの両方として扱う。3人または4人でゲームをする際は、「島」は12枚使用する。2人でゲームをする際は8枚の「島」を使用する。「島」と脇に置くカードは、島のプレイヤーマットの上に表向きに置いておく。島のプレイヤーマット上にあるカードは、捨て札をシャッフルする際に混ぜてはいけない。島のプレイヤーマットに置いたカードは、勝利点として計算するために、ゲーム終了時に山札に戻す。「島」の勝利点は2である。「島」を使う時に自分の手札の残りが1枚もない場合、「島」だけを脇に置く。「玉座の間」の効果で「島」を使う場合、まず「島」と手札のカード1枚を脇に置き、次に手札のもう1枚だけを脇に置く。島のプレイヤーマットの上に置いたカードは、表向きに置くため、すべてのプレイヤーがそのカードを確認する。（メモ）
66	商船	しょうせん	Merchant Ship	海辺	5	5	0	0	王国	Action-Duration	0	0	0	0	2	0	【能力】現在と、あなたの次のターンの開始時に、+2コイン。	【Ability】Now and at the start of your next turn: +2 Coins.	【説明】あなたは、このターンに使う追加の2コインを得て、次のターンも追加の2コインを得る。このカードは、あなたの次のターンのクリーンアップフェイズまで、あなたの前に置いておく。（メモ）
67	真珠採り	しんじゅとり	Pearl Diver	海辺	2	2	0	0	王国	Action	0	1	1	0	0	0	【能力】+1カードを引く。+1アクション。あなたの山札の一番下のカードを見る。あなたは、そのカードを山札の一番上に置いてもよい。	【Ability】+1 Card+1 ActionLook at the bottom card of your deck. You may put it on top.	【説明】山札の一番下のカードを見る前に、カード1枚を引く。山札の一番下のカードを山札の一番上に置く場合、カードを移動させている間に山札の下から二番目のカードを見ないようにする。山札の一番下のカードを見る際に山札に1枚もカードが残っていない場合、先に捨て札をシャッフルして新たな山札を作る。（メモ）
68	前哨地	ぜんしょうち	Outpost	海辺	5	5	0	0	王国	Action-Duration	0	0	0	0	0	0	【能力】あなたは、このターンのクリーンアップフェイズに、カードを（5枚ではなく）3枚しか引くことができない。このターンの後に、追加の1ターンを得る。この効果で、あなたは追加ターンを、1ターンまでしか得ることができない。	【Ability】You only draw 3 cards (instead of 5) in this turn’s Clean-up phase.Take an extra turn after this one.This can’t cause you to take more than two consecutive turns.	【説明】追加のターンは、開始時の手札枚数が3枚しかないこと以外は、通常と同じである。その追加ターンの終了時まで、「前哨地」は自分の手前に置いておく。「前哨地」を「商船」のような「現在と、あなたの次のターンの開始時」に適用されるカードと一緒に使用した場合、「前哨地」の効果による追加のターンを次のターンとして扱う。（したがって、「商船」を使用した場合、追加のターンに追加のコインを得る。）あなたが1ターンに「前哨地」を2枚使用した場合でも、追加のターンは1ターンしかない。追加のターン中に「前哨地」を使用しても、さらに追加のターンを得ることはできない。※「玉座の間」「宮廷」「行進」のように1枚のカードを複数回使用するカードを使用しても、「前哨地」により得られる結果は変わらない。
69	倉庫	そうこ	Warehouse	海辺	3	3	0	0	王国	Action	0	3	1	0	0	0	【能力】+3カードを引く。+1アクション。カード3枚を捨て札にする。	【Ability】+3 Card+1 ActionDiscard 3 cards.	【説明】あなたの山札の残り枚数が3枚未満の場合、山札のカードすべてを引き、その後捨て札をシャッフルして新たな山札を作り、そこから不足分のカードを引く。それでも3枚に満たない場合、山札のすべてのカードを引く。引いた枚数が3枚未満であっても、可能であれば手札からカード3枚を捨て札にする必要がある。捨て札にするカードは、「倉庫」の効果で引いたカードでも、元から手札に持っていたカードでも、好きな組み合わせで捨て札にできる。（メモ）
70	大使	たいし	Ambassador	海辺	3	3	0	0	王国	Action-Attack	0	0	0	0	0	0	【能力】あなたの手札1枚を公開する。公開したカードと同じカード最大2枚までを、あなたの手札からサプライに戻す。その後、他のプレイヤー全員は、それと同じカードを1枚ずつ獲得する。	【Ability】Reveal a card from your hand.Return up to 2 copies of it from your hand to the Supply.Then each other player gains a copy of it.	【説明】先に手札のカード1枚を選択して、公開する。そのカードを最大2枚まで自分の手札からサプライに戻して置くことができる。サプライへ1枚も戻さないことも選択できる。その後、他のプレイヤー全員は、サプライからそれと同じカードを1枚ずつ獲得する。サプライにある選択したカードの山札の枚数が足りない場合、そのカードを獲得できないプレイヤーがいる可能性がある。その場合、左隣のプレイヤーからターンの進行順に獲得していく。あなたの手札に他のカード（公開するカード）が1枚もない場合、何も発生しない。（メモ）※サプライにないカード（闇市場デッキ、褒賞カード、避難所カード、その他カード）は戻すことはできない。
71	隊商	たいしょう	Caravan	海辺	4	4	0	0	王国	Action-Duration	0	1	1	0	0	0	【能力】+1カードを引く。+1アクション。あなたの次のターンの開始時に、+1カードを引く。	【Ability】+1 Card+1 ActionAt the start of your next turn， +1 Card.	【説明】あなたの次のターンの開始時（開始前ではなく）にカードを1枚引く。「隊商」のカード自身はそのターンのクリーンアップフェイズに捨て札になる。（メモ）
72	宝の地図	たからのちず	Treasure Map	海辺	4	4	0	0	王国	Action	0	0	0	0	0	0	【能力】このカードと、あなたの手札にあるもう1枚の宝の地図カードを廃棄する。あなたが宝の地図2枚を廃棄した場合、金貨カード4枚を獲得し、自分の山札の上に置く。	【Ability】Trash this and another copy of Treasure Map from your hand.If you do trash two Treasure Maps， gain 4 Gold cards， putting them on top of your deck.	【説明】あなたは手札にもう1枚の「宝の地図」を持っていなくても、このカードを使用できる。その場合、このカードを廃棄して、何も獲得できない。「金貨」を獲得するためには、実際に「宝の地図」を2枚廃棄する必要がある。したがって、「玉座の間」の効果で「宝の地図」を使用した時に手札に「宝の地図」2枚を持っている場合、1枚目の「宝の地図」の解決でその「宝の地図」自身と手札の「宝の地図」1枚を廃棄して「金貨」4枚を獲得するが、2枚目の「宝の地図」の解決で手札のもう1枚の「宝の地図」を廃棄しても何も獲得できない（実際に使用した「宝の地図」自身を廃棄できないため）。サプライに残っている「金貨」が4枚未満の場合、サプライの残りの「金貨」すべてを獲得する。獲得した「金貨」は、自分の山札の上に置く。自分の山札の残りが1枚もない場合、山札は獲得した「金貨」だけになる。（メモ）
73	探検家	たんけんか	Explorer	海辺	5	5	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたは、自分の手札から属州カード1枚を公開してもよい。そうした場合、金貨カード1枚を獲得し、自分の手札に加える。公開しなかった場合、銀貨カードを1枚を獲得し、自分の手札に加える。	【Ability】You may reveal a Province card from your hand. If you do， gain a Gold card， putting it into your hand. Otherwise， gain a Silver card， putting it into your hand.	【説明】あなたは「属州」が手札にあっても、公開する必要はない。公開した場合は「金貨」1枚を獲得し、公開しなかった場合は「銀貨」1枚を獲得する。獲得するカードは、サプライから獲得し、自分の手札に加え、同一ターンに使用することができる。（メモ）※「金貨」または「銀貨」を獲得するときに、リアクションとして「交易人」を手札から公開した場合、獲得するカードの代わりに「銀貨」1枚を獲得するが、この「銀貨」は手札には加えず捨て札に置く。
74	停泊所	ていはくじょ	Haven	海辺	2	2	0	0	王国	Action-Duration	0	1	1	0	0	0	【能力】+1カードを引く。+1アクション。あなたの手札のカード1枚を、裏向きにして脇に置く。あなたの次のターンの開始時に、そのカードをあなたの手札に加える。	【Ability】+1 Card+1 ActionSet aside a card from your hand face down. At the start of your next turn， put it into your hand.	【説明】先にカード1枚を引き、次に手札のカード1枚を選んで、裏向きに脇に置く。脇に置いたカードは、忘れないように「停泊所」の上に置いておく。他のプレイヤーは、そのカードを見ることができない。脇にカードを置くことは強制である。「停泊所」とその上に置いたカードは、あなたの次のターンの開始時の、脇に置いたカードを手札に加える時まで脇に置いておく。「停泊所」のカード自身は、そのターンのクリーンアップフェイズに捨て札になる。（メモ）
75	灯台	とうだい	Lighthouse	海辺	2	2	0	0	王国	Action-Duration	0	0	1	0	1	0	【能力】+1アクション。現在と、あなたの次のターンの開始時に、+1コイン。このカードが場に出ているかぎり、他のプレイヤーがアタックカードを使用しても、あなたはそのカードの影響を受けない。	【Ability】+1 ActionNow and at the start of your next turn: +1 Coin. While this is in play， when another player plays an Attack card， it doesn’t affect you.	【説明】あなたはこのターン、追加の1アクションと追加の1コインを使用でき、次のターンは追加の1コインのみを使用できる。他のプレイヤーが使うアタックカードの効果は、たとえあなたが影響を受けることを望んでも、あなたに影響を与えることができない。あなたは、アタックカードを使用された時に「秘密の部屋」を公開して、カード2枚を引いて、手札から2枚を山札の上に戻すことはできるが、そのアタックカードの効果（カードを引くなど）は適用される。「灯台」は、あなたの次のターンのクリーンアップフェイズに捨て札になる。（メモ）※「堀」と同様の効果であるが、「灯台」はリアクションではない。
76	バザー	ばざー	Bazaar	海辺	5	5	0	0	王国	Action	0	1	2	0	1	0	【能力】+1カードを引く。+2アクション。+1コイン。	【Ability】+1 Card+2 Actions+1 Coin	【説明】あなたはカード1枚を引き、追加のアクションを2つ使用でき、このターンに使用する追加の1コインを得る。（メモ）
77	引揚水夫	ひきあげすいふ	Salvager	海辺	4	4	0	0	王国	Action	0	0	0	1	0	0	【能力】+1カードを購入。あなたの手札のカード1枚を廃棄する。そのカードのコスト分+コイン。	【Ability】+1 BuyTrash a card from your hand.+ Coins equal to its cost.	【説明】あなたの手札の残り枚数が1枚しかない場合、そのカードを廃棄しなければならない。あなたの手札が1枚もなく、カードを廃棄できない場合、追加のコインを獲得することはできないが、+1カードを購入はできる。（メモ）※解決時には「引揚水夫」のカード自身は手札にないため、「引揚水夫」のカード自身を廃棄することはできない。
78	船着場	ふなつきば	Wharf	海辺	5	5	0	0	王国	Action-Duration	0	2	0	1	0	0	【能力】現在と、次のターンの開始時に、+2カードを引く。+1カードを購入。	【Ability】Now and at the start of your next turn:+2 Cards+1 Buy	【説明】あなたはこのターンカードを2枚引いて追加で1枚購入でき、次のターンの開始時にさらにカード2枚を引いて追加の購入1を得る。あなたの次のターンが実際に始まるまで、次のターンの追加のカード2枚を引くことはできない。このカードは、あなたの次のターンのクリーンアップフェイズまで、あなたの前に置いておく。（メモ）
79	宝物庫	ほうもつこ	Treasury	海辺	5	5	0	0	王国	Action	0	1	1	0	1	0	【能力】+1カードを引く。+1アクション。+1コイン。あなたがこのカードをプレイエリアから捨て札に置くとき、あなたがこのターン勝利点カードを購入していない場合、このカードを山札の一番上に置いてもよい。	【Ability】+1 Card+1 Action+1 Coin When you discard this from play， if you didn’t buy a Victory card this turn， you may put this on top of your deck.	【説明】あなたが複数枚のカードを購入し、その中に1枚でも勝利点カードがある場合、「宝物庫」を山札の一番上に置くことはできない。あなたが複数枚の「宝物庫」を使用し、このターン1枚も勝利点を購入していない場合は、このターンに使用した「宝物庫」のうち好きな枚数を山札の上に置くことができる。あなたが「宝物庫」を山札に置くことを忘れて捨て札に置いてしまった場合、あなたは任意の能力の使用を選択しなかったとみなされ、後から捨て札から探して回収することはできない。「密輸人」の効果など、購入以外で獲得した勝利点カードは、「宝物庫」を山札の上に置くことの妨げにならない。（メモ）
80	密輸人	みつゆにん	Smugglers	海辺	3	3	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの右隣のプレイヤーが、前のターンに獲得したコストが6コイン以下のカードと同一のカードを獲得する。	【Ability】Gain a copy of a card costing up to 6 Coins that the player to your right gained on his last turn.	【説明】このカードの効果は、あなたの右隣のプレイヤーの直近のターンを（あなたが複数のターンを連続で実行していても）参照できる。そのプレイヤーが1枚もカードを獲得していない、またはコスト6以下のカードを獲得していない場合、「密輸人」の効果で何もできない。そのプレイヤーがコスト6以下のカードを複数枚獲得していた場合、獲得したカードの中の1枚を選んで獲得する。獲得するカードは、サプライから獲得しなければならない。右隣のプレイヤーが購入したカードでも、他の方法で獲得したカードでも獲得できる。右隣のプレイヤーが「密輸人」を使って獲得したカードでも獲得できる。右隣のプレイヤーが「闇市場」の効果で獲得したカードは、サプライに同一のカードがないため、獲得できない。このカードはアタックカードではないため、「堀」や「灯台」でこのカードの効果を止めることはできない。（メモ）
81	見張り	みはり	Lookout	海辺	3	3	0	0	王国	Action	0	0	1	0	0	0	【能力】+1アクション。あなたの山札の上から3枚のカードを見て、その中の1枚を廃棄し、その中の1枚を捨て札にする。残り1枚を、あなたの山札の一番上に置く。	【Ability】+1 ActionLook at the top 3 cards of your deck. Trash one of them.Discard one of them. Put the other one on top of your deck.	【説明】あなたの山札の残り枚数が2枚以下の場合、残りの山札すべてを見た後、捨て札をシャッフルして新たな山札を作り、そこから不足分の枚数のカードを見る。あなたは、3枚すべてのカードを見た後で、廃棄するカード、捨て札にするカード、山札に戻すカードを決めなければならない。あなたの山札の残り枚数が3枚だけの場合、このカードの解決後の山札は、戻した1枚だけになる。捨て札をシャッフルし直して新たな山札を作っても3枚に満たない場合（山札と捨て札の合計枚数が2枚以下の場合）、カードテキストに記載されている順番に効果を適用する。合計1枚しかない場合はそのカードを廃棄しなければならない。2枚しかない場合は2枚を見て、1枚を廃棄し、1枚を捨て札にしなければならない。（メモ）
82	幽霊船	ゆうれいせん	Ghost Ship	海辺	5	5	0	0	王国	Action-Attack	0	2	0	0	0	0	【能力】+2カードを引く。手札を4枚以上持っている他のプレイヤーは全員、手札枚数が3枚になるまで、手札のカードを自分の山札の上に置く。	【Ability】+2 CardsEach other player with 4 or more cards in hand puts cards from his hand on top of his deck until he has 3 cards in his hand.	【説明】他のプレイヤーは全員、自分の山札に置くカードと、置く順番を選ぶ。手札を3枚しか持っていないプレイヤーには効果がない。自分の山札に1枚もカードが残っていないプレイヤーは、捨て札をシャッフルせず、手札から置くカードだけが自分の山札になる。（メモ）
83	抑留	よくりゅう	Embargo	海辺	2	2	0	0	王国	Action	0	0	0	0	2	0	【能力】+2コイン。このカードを廃棄する。サプライのいずれかの山札1つの上に、抑留トークン1枚を配置する。プレイヤーはカードを購入するとき、その山札に置いてある抑留トークン1枚につき、呪いカード1枚を獲得する。	【Ability】+2 CoinsTrash this card. Put an Embargo token on top of a Supply pile. When a player buys a card， he gains a Curse card per Embargo token on that pile.	【説明】サプライにあるどの山札でも選択できる。複数の「抑留」を使用して同一の山札に抑留トークンを置く場合、その山札のカードを購入するプレイヤーは、1枚購入するごとに置いてある抑留トークンの枚数分の「呪い」カードを獲得する。抑留トークンが置いてある山札から購入以外でカードを獲得する場合（例えば、「密輸人」の効果で獲得する場合など）は、呪いカードは獲得しない。「玉座の間」の効果で「抑留」を使用する場合、抑留トークンを2枚置くことになるが、その2枚を同一の山札におく必要はない。抑留トークンの枚数が足りなくなった場合、何か代わりになる物を代用品として使用する。「呪い」カードがなくなった場合、抑留トークンの効果は発生しない。（メモ）
84	闇市場	やみいちば	Black Market	プロモ	3	3	0	0	王国	Action	0	0	0	0	2	0	【能力】+2コイン。闇市場のデッキの上から3枚のカードを公開する。あなたは公開したカードのうち1枚を即座に購入してもよい。購入しなかったカードは、好きな順番で闇市場のデッキの下に置く。（このカードをゲームで使用する場合、ゲーム開始前に、サプライにない王国カードを1枚ずつ使って闇市場のデッキを作っておく。）。	【Ability】+2 CoinsReveal the top 3 cards of the Black Market deck. You may buy one of them immediately.Put the unbought cards on the bottom of the Black Market deck in any order.(Before the game， make a Black Market deck out of one copy of each Kingdom card not in the supply.)	【説明】「闇市場」は、あなたがアクションフェイズ中にカードを購入することを可能にする。このカードの効果によるカードの購入では、アクションフェイズ中このカードの前に使った他のアクションカードで得たコインでも、自分の手札の財宝カードでもコストを払うことができる。この時に使用する手札の財宝カードは、購入フェイズと同様に自分のプレイエリアへ出す。購入に必要であれば、手札にある好きな枚数の財宝カードを使用することができ、アクションカードで得たコインや財宝カードの使用によるコインのうち、余ったコインは、購入フェイズへ持ち越して使うことができる。カードを購入しなくても、財宝カードを出すことができる。ターン中にすでに使ってしまったコインを再使用することはできない。アクションフェイズ中に購入したカードは、自分の購入フェイズに購入したカードとしては数えない。したがって、「+1カードを購入」の効果のアクションカードを使わなくとも、通常の購入フェイズでカード1枚を購入することができる。「闇市場」の王国カードを使うためには、ゲーム開始前にあらかじめ「闇市場」のデッキを作っておく必要がある。「闇市場」のデッキは、現在のゲームでサプライにない王国カードで作る。「闇市場」のデッキにどのカードを使用するかは、プレイヤー間で、同意をしておく必要がある（例として、あなたはサプライにない王国カードすべてから1枚ずつ使うことを同意する）。15種類の王国カードから1枚ずつ使って「闇市場」のデッキを作ることを推奨する。すべてのプレイヤーは、ゲーム開始前に「闇市場」のデッキに入っているカードを確認することができる。「闇市場」のデッキのカードは、シャッフルをして裏向きの山札にし、テーブル上のプレイヤー全員が手に届く場所に配置する。このデッキは、サプライの山札としては扱わず、すべてなくなってもゲーム終了の条件には関係ない。あなたが「闇市場」を使ったときに、「闇市場」のデッキにカードが1枚もない場合、「闇市場」のデッキのカードを1枚も購入できないが、+2コインは得る。「闇市場」を使ったときに、「闇市場」のデッキのカードを購入しない場合も、+2コインは得る。日本語版は、公式ウェブサイトの通販で購入可能だった。（メモ）※「闇市場」の使用による購入はあくまでもアクションフェイズ中であり、購入フェイズではない。※「闇市場」を使用する前に何らかのカードの効果により「+1カードを購入」を得ていても、「闇市場」の効果による購入は「闇市場」のデッキから1枚のみの購入しかできない。※「闇市場」の使用による購入時に場に出した財宝カードは、クリーンアップフェイズまで場に出ている状態となる。これは特に「石切場」「隠し財産」「玉璽」「護符」の効果の解決に関係する。
85	公使	こうし	Envoy	プロモ	4	4	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの山札の上から5枚のカードを公開する。あなたの左隣のプレイヤーはその中から1枚を選び、あなたの捨て札置き場に置く。残りの4枚をあなたの手札に加える。※「坑道」の訳注にはないが、「冒険者」「公使」「義賊」「公爵夫人」のカードテキストにある「捨て札に置く」も「捨て札にする」と読み替える。これらのカードテキストの能力で「坑道」が捨て札にされたとき、リアクションの能力を使用できる。	【Ability】Reveal the top 5 cards of your deck. The player to your left chooses one for you to discard. Draw the rest.	【説明】あなたの山札のカードが5枚未満の場合、あるだけのカードを公開した後、捨て札をシャッフルして新たな山札を作り、残りは新たな山札から公開する。その後、あなたの左隣のプレイヤーは、公開したカードの中から捨て札にするカード1枚を選び、残りをあなたは引く。捨て札をシャッフルして新たな山札を作っても5枚に満たない場合、あるだけのカードを公開し、左隣の対戦相手はその中から捨て札1枚を選び、あなたは残りを引いて手札に加える。日本語版は、公式ウェブサイトの通販で購入可能だった。（メモ）
86	へそくり	へそくり	Stash	プロモ	5	5	0	0	王国	Treasure	0	0	0	0	2	0	【能力】2コイン あなたが山札をシャッフルをするとき、このカードを自分の山札の好きなところに加えることができる。	【Ability】Worth 2 Coins When you shuffle， you may put this anywhere in your deck.	【説明】「へそくり」は使用時に2コインを生み出す（「銀貨」と同じ）財宝カードである。あなたが自分の山札をシャッフルするときに、山札に「へそくり」があれば、山札の「へそくり」を置く位置を選択できる。「へそくり」を山札に加えるときに、他の山札のカードの表面を見ることはできない。「へそくり」のカード裏面は他のカードとは異なっているため、他のカードの表面を見ずに「へそくり」を山札のどこに置くかがわかる。自分の山札に「へそくり」が複数枚ある場合、山札の中にそれらをまとめて置くことも、離して置くこともできる。「へそくり」は他のカードと異なる裏面になっているため、プレイヤーの手札にある場合や、誰かの「停泊所」で脇に置かれている場合などに、見分けがつく。日本語版は、書籍「ドミニオンへの招待」付録。（メモ）
87	ポーション	ぽーしょん	Potion	錬金術	4	4	0	0	基本	Treasure	0	0	0	0	0	0	【能力】1ポーション。	【Ability】1 Potion	【説明】16枚使用。このカードは基本の財宝カードである。コストは4コインで、ポーションを生み出す。王国カードではない。（メモ）
88	薬師	くすし	Apothecary	錬金術	2P	2	1	0	王国	Action	0	1	1	0	0	0	【能力】+1カードを引く。+1アクション。あなたの山札の上から4枚のカードを公開する。銅貨とポーションを公開した場合、それをあなたの手札へ加える。残りのカードは好きな順番であなたの山札の上に置く。	【Ability】+1 Card+1 ActionReveal the top 4 cards of your deck.Put the revealed Coppers and Potions into your hand. Put the other cards back on top of your deck in any order.	【説明】先にカードを1枚引く。次に上から4枚のカードを公開し、「銅貨」と「ポーション」を手札に加え、残りを山札の上に置く。自分の山札の残り枚数が4枚未満の場合、まずあるだけのカードを公開し、その後に捨て札をシャッフルして新たな山札をつくり、残りを公開する。それでもカード枚数が4枚に満たない場合、あるカードだけを公開する。「銅貨」でも「ポーション」でもないカードは、好きな順番で山札の上に戻す。選択の余地なく「銅貨」と「ポーション」のすべてを手札に加えなければならない。4枚のカードの公開後に山札のカードがなくなった場合、山札は戻したカードだけになる。（メモ）
89	賢者の石	けんじゃのいし	Philosopher’s Stone	錬金術	3P	3	1	0	王国	Treasure	0	0	0	0	0	0	【能力】あなたがこのカードをプレイするとき、自分の山札と捨て札置き場のカード枚数を数える。その合計枚数÷5（端数切り捨て）の1コインを得る。	【Ability】When you play this， count your deck and discard pile.Worth 1 Coin per 5 cards total between them (rounded down).	【説明】このカードは財宝カードであり、王国カードでもある。王国カード10種類をランダムに選択する際はランダムに選択され、それ以外の場合も使用する際は10種類の王国カードの1つとして選択する。このカードは他の財宝カードと同様に購入フェイズに使用する。このカードを使用するとき、あなたの山札のカード枚数と、捨て札のカード枚数を数えて合計し、それを5で割り、小数点以下を切り捨てる。その数が使用できるコイン数になる。プレイエリアに出したら、その後に山札や捨て札の枚数が変わっても、使用できるコイン数は変わらない。次に使うときは、再度数えなおす。このカードを複数枚使用する場合、そのコイン数は同じ数になる。捨て札のカードの順番は重要ではないが、山札のカードの順番は重要であるため、枚数を数える際に順番を変えてはならない。枚数を数える際に自分の捨て札のカードを見ることができる。この能力で数えるのは山札と捨て札だけで、手札やプレイエリアや脇に置いたカードは含めない。購入フェイズに何かを購入した後に財宝カードを出すことはできない。したがって、例えばカード1枚を購入し、次に「賢者の石」を出し、その後にもう1枚を購入することはできない。（メモ）
90	ゴーレム	ごーれむ	Golem	錬金術	4P	4	1	0	王国	Action	0	0	0	0	0	0	【能力】ゴーレム以外のアクションカード2枚が公開されるまで、あなたの山札を上から公開する。公開した他のカードを捨て札に置き、次にその2枚のアクションカードを好きな順番でプレイする。※「坑道」の訳注に基づき、「破壊工作員」「ゴーレム」「収穫」「狩猟団」「道化師」「農村」のカードテキストにある「捨て札に置く」は「捨て札にする」と読み替える。これらのカードテキストの能力で「坑道」が捨て札にされたとき、リアクションの能力を使用できる。	【Ability】Reveal cards from your deck until you reveal 2 Action cards other than Golem Cards.Discard the other cards， then play the Action cards in either order.	【説明】あなたの山札の上から、1枚ずつ、「ゴーレム」以外のアクションカード2枚が公開されるまで公開する。「ゴーレム」以外のアクションカード2枚が公開される前に山札のカードがなくなった場合、捨て札をシャッフルして（公開したカードは含まずに）新たな山札を作り、残りを続ける。捨て札のカードもなくなった場合は、公開された「ゴーレム」以外のアクションカードのみを得る。「ゴーレム」以外のアクションカードを除く公開されたすべてのカードを捨て札に置く。「ゴーレム」以外のアクションカードが1枚も公開されなかった場合、そこで公開を終了する。1枚だけ公開された場合、それを使う。2枚公開された場合、好きな順番で両方とも使用する。必ず2枚とも使用しなければならない。これらのアクションカードは、あなたの手札には加えられず、あなたの手札から参照する効果の影響を受けない。例えばその中の1枚が「玉座の間」の場合、その効果でもう1枚の方を使用することはできない。（メモ）
